number_of_elements,average_sort_time 
3,0.0005 
4,0.0015 
5,0.0005 
6,0 
7,0 
8,0 
9,0 
10,0 
11,0 
12,0.0005 
13,0.0005 
14,0.0005 
15,0.0005 
16,0 
17,0 
18,0.0005 
19,0.0005 
20,0 
21,0.001 
22,0 
23,0 
24,0.0015 
25,0.001 
26,0 
27,0.001 
28,0.0005 
29,0.001 
30,0 
31,0.0015 
32,0.001 
33,0.001 
34,0.001 
35,0.0015 
36,0.0005 
37,0.0015 
38,0.0015 
39,0.0015 
40,0.0015 
41,0.0005 
42,0.002 
43,0.0015 
44,0.0015 
45,0.002 
46,0.003 
47,0.0025 
48,0.003 
49,0.002 
50,0.003 
51,0.0015 
52,0.003 
53,0.003 
54,0.0035 
55,0.0035 
56,0.003 
57,0.0035 
58,0.003 
59,0.002 
60,0.003 
61,0.003 
62,0.0035 
63,0.0035 
64,0.003 
65,0.004 
66,0.0035 
67,0.0035 
68,0.004 
69,0.005 
70,0.004 
71,0.005 
72,0.004 
73,0.004 
74,0.0045 
75,0.005 
76,0.0055 
77,0.004 
78,0.0055 
79,0.0055 
80,0.0055 
81,0.0055 
82,0.0065 
83,0.0025 
84,0.006 
85,0.0055 
86,0.006 
87,0.007 
88,0.007 
89,0.007 
90,0.0075 
91,0.0075 
92,0.0075 
93,0.0065 
94,0.007 
95,0.0075 
96,0.007 
97,0.007 
98,0.009 
99,0.007 
100,0.0085 
101,0.0075 
102,0.0075 
103,0.007 
104,0.0085 
105,0.0095 
106,0.0085 
107,0.011 
108,0.0095 
109,0.01 
110,0.009 
111,0.01 
112,0.01 
113,0.011 
114,0.0095 
115,0.01 
116,0.011 
117,0.011 
118,0.0115 
119,0.012 
120,0.0095 
121,0.01 
122,0.0105 
123,0.012 
124,0.012 
125,0.012 
126,0.013 
127,0.013 
128,0.0135 
129,0.0125 
130,0.013 
131,0.0145 
132,0.0135 
133,0.0135 
134,0.0135 
135,0.014 
136,0.0135 
137,0.014 
138,0.0135 
139,0.015 
140,0.0145 
141,0.0145 
142,0.0145 
143,0.016 
144,0.016 
145,0.0165 
146,0.016 
147,0.016 
148,0.015 
149,0.018 
150,0.0165 
151,0.016 
152,0.017 
153,0.0165 
154,0.0195 
155,0.0185 
156,0.0165 
157,0.0185 
158,0.0175 
159,0.02 
160,0.018 
161,0.0195 
162,0.017 
163,0.019 
164,0.022 
165,0.02 
166,0.0225 
167,0.022 
168,0.0215 
169,0.0215 
170,0.022 
171,0.023 
172,0.0215 
173,0.0205 
174,0.0245 
175,0.022 
176,0.0235 
177,0.021 
178,0.024 
179,0.024 
180,0.0245 
181,0.0225 
182,0.0255 
183,0.026 
184,0.026 
185,0.027 
186,0.0275 
187,0.0245 
188,0.0245 
189,0.026 
190,0.027 
191,0.0275 
192,0.0285 
193,0.028 
194,0.0275 
195,0.029 
196,0.028 
197,0.03 
198,0.027 
199,0.03 
200,0.0305 
201,0.03 
202,0.0315 
203,0.0295 
204,0.0305 
205,0.031 
206,0.0305 
207,0.0305 
208,0.0325 
209,0.0325 
210,0.032 
211,0.0315 
212,0.0325 
213,0.033 
214,0.0325 
215,0.032 
216,0.0345 
217,0.034 
218,0.0345 
219,0.035 
220,0.036 
221,0.035 
222,0.0345 
223,0.036 
224,0.0365 
225,0.0365 
226,0.0355 
227,0.0365 
228,0.038 
229,0.037 
230,0.037 
231,0.0685 
232,0.085 
233,0.0865 
234,0.084 
235,0.086 
236,0.0895 
237,0.084 
238,0.086 
239,0.0885 
240,0.088 
241,0.0875 
242,0.092 
243,0.06 
244,0.041 
245,0.0435 
246,0.0435 
247,0.0455 
248,0.044 
249,0.045 
250,0.0455 
251,0.047 
252,0.045 
253,0.0455 
254,0.0425 
255,0.048 
256,0.048 
257,0.048 
258,0.045 
259,0.0505 
260,0.0495 
261,0.049 
262,0.0495 
263,0.0515 
264,0.05 
265,0.0485 
266,0.0525 
267,0.0515 
268,0.053 
269,0.0515 
270,0.051 
271,0.0525 
272,0.0545 
273,0.0555 
274,0.055 
275,0.055 
276,0.0545 
277,0.057 
278,0.0565 
279,0.0565 
280,0.055 
281,0.0565 
282,0.061 
283,0.056 
284,0.0575 
285,0.0535 
286,0.058 
287,0.057 
288,0.0575 
289,0.06 
290,0.06 
291,0.06 
292,0.063 
293,0.063 
294,0.062 
295,0.063 
296,0.0605 
297,0.063 
298,0.06 
299,0.0635 
300,0.063 
301,0.066 
302,0.067 
303,0.061 
304,0.067 
305,0.0645 
306,0.064 
307,0.0665 
308,0.0675 
309,0.0665 
310,0.0665 
311,0.0665 
312,0.0675 
313,0.067 
314,0.0695 
315,0.069 
316,0.0685 
317,0.073 
318,0.0765 
319,0.073 
320,0.072 
321,0.0715 
322,0.073 
323,0.075 
324,0.074 
325,0.135 
326,0.1645 
327,0.17 
328,0.1655 
329,0.173 
330,0.1855 
331,0.129 
332,0.0815 
333,0.0765 
334,0.078 
335,0.0785 
336,0.0795 
337,0.079 
338,0.081 
339,0.079 
340,0.081 
341,0.0855 
342,0.086 
343,0.0825 
344,0.0845 
345,0.0835 
346,0.0835 
347,0.087 
348,0.0895 
349,0.0855 
350,0.087 
351,0.176 
352,0.1845 
353,0.189 
354,0.196 
355,0.2095 
356,0.1515 
357,0.0915 
358,0.092 
359,0.0925 
360,0.0925 
361,0.0935 
362,0.092 
363,0.095 
364,0.0945 
365,0.095 
366,0.0935 
367,0.09 
368,0.097 
369,0.094 
370,0.0985 
371,0.099 
372,0.0985 
373,0.131 
374,0.227 
375,0.2165 
376,0.22 
377,0.2335 
378,0.166 
379,0.1 
380,0.1035 
381,0.102 
382,0.104 
383,0.105 
384,0.1005 
385,0.1035 
386,0.106 
387,0.1025 
388,0.1045 
389,0.1075 
390,0.108 
391,0.1095 
392,0.1045 
393,0.1225 
394,0.25 
395,0.235 
396,0.2335 
397,0.258 
398,0.1435 
399,0.1115 
400,0.1115 
401,0.118 
402,0.1145 
403,0.1135 
404,0.114 
405,0.1175 
406,0.117 
407,0.1165 
408,0.115 
409,0.117 
410,0.1185 
411,0.1155 
412,0.2275 
413,0.2815 
414,0.262 
415,0.288 
416,0.1445 
417,0.122 
418,0.1225 
419,0.12 
420,0.1235 
421,0.129 
422,0.125 
423,0.123 
424,0.126 
425,0.125 
426,0.1305 
427,0.1275 
428,0.1255 
429,0.2585 
430,0.295 
431,0.2705 
432,0.2785 
433,0.1285 
434,0.13 
435,0.1355 
436,0.1325 
437,0.136 
438,0.133 
439,0.1345 
440,0.136 
441,0.135 
442,0.136 
443,0.135 
444,0.16 
445,0.2985 
446,0.3145 
447,0.308 
448,0.2145 
449,0.14 
450,0.142 
451,0.1435 
452,0.1445 
453,0.1455 
454,0.1445 
455,0.153 
456,0.1465 
457,0.147 
458,0.151 
459,0.233 
460,0.3175 
461,0.3395 
462,0.3 
463,0.146 
464,0.164 
465,0.1505 
466,0.152 
467,0.15 
468,0.155 
469,0.158 
470,0.1545 
471,0.156 
472,0.1595 
473,0.276 
474,0.358 
475,0.3385 
476,0.2565 
477,0.164 
478,0.1625 
479,0.1655 
480,0.158 
481,0.1635 
482,0.173 
483,0.164 
484,0.1645 
485,0.1815 
486,0.3075 
487,0.357 
488,0.3645 
489,0.224 
490,0.1695 
491,0.183 
492,0.1685 
493,0.1725 
494,0.1725 
495,0.168 
496,0.1755 
497,0.1695 
498,0.2145 
499,0.3965 
500,0.368 
501,0.3215 
502,0.176 
503,0.176 
504,0.179 
505,0.1905 
506,0.179 
507,0.179 
508,0.1805 
509,0.184 
510,0.2385 
511,0.397 
512,0.4135 
513,0.2715 
514,0.2 
515,0.1825 
516,0.1915 
517,0.1875 
518,0.183 
519,0.192 
520,0.189 
521,0.1905 
522,0.4175 
523,0.409 
524,0.3565 
525,0.1955 
526,0.195 
527,0.2075 
528,0.1985 
529,0.1895 
530,0.2095 
531,0.1945 
532,0.2195 
533,0.4335 
534,0.4315 
535,0.3115 
536,0.2025 
537,0.202 
538,0.1995 
539,0.2055 
540,0.2105 
541,0.2005 
542,0.211 
543,0.349 
544,0.4545 
545,0.4065 
546,0.2145 
547,0.21 
548,0.21 
549,0.2245 
550,0.209 
551,0.22 
552,0.207 
553,0.347 
554,0.4525 
555,0.4495 
556,0.215 
557,0.228 
558,0.219 
559,0.221 
560,0.227 
561,0.2195 
562,0.218 
563,0.426 
564,0.4735 
565,0.3705 
566,0.223 
567,0.222 
568,0.221 
569,0.2195 
570,0.228 
571,0.2295 
572,0.288 
573,0.508 
574,0.4835 
575,0.231 
576,0.2325 
577,0.228 
578,0.2465 
579,0.2305 
580,0.2335 
581,0.275 
582,0.5095 
583,0.534 
584,0.2355 
585,0.2395 
586,0.2525 
587,0.2555 
588,0.24 
589,0.2465 
590,0.3185 
591,0.5355 
592,0.469 
593,0.247 
594,0.244 
595,0.263 
596,0.242 
597,0.259 
598,0.2465 
599,0.4715 
600,0.5495 
601,0.332 
602,0.268 
603,0.251 
604,0.2615 
605,0.2565 
606,0.272 
607,0.3795 
608,0.5635 
609,0.43 
610,0.2585 
611,0.2745 
612,0.2635 
613,0.2605 
614,0.266 
615,0.36 
616,0.588 
617,0.4395 
618,0.2765 
619,0.266 
620,0.276 
621,0.2695 
622,0.27 
623,0.3735 
624,0.6135 
625,0.431 
626,0.274 
627,0.2865 
628,0.276 
629,0.273 
630,0.2885 
631,0.467 
632,0.6085 
633,0.355 
634,0.291 
635,0.2715 
636,0.284 
637,0.2885 
638,0.3025 
639,0.624 
640,0.5265 
641,0.3025 
642,0.282 
643,0.301 
644,0.2895 
645,0.298 
646,0.517 
647,0.6625 
648,0.3045 
649,0.297 
650,0.289 
651,0.299 
652,0.29 
653,0.438 
654,0.6465 
655,0.423 
656,0.302 
657,0.3125 
658,0.3045 
659,0.303 
660,0.422 
661,0.663 
662,0.438 
663,0.3005 
664,0.317 
665,0.304 
666,0.3095 
667,0.45 
668,0.6755 
669,0.4105 
670,0.3105 
671,0.324 
672,0.313 
673,0.3275 
674,0.528 
675,0.688 
676,0.3525 
677,0.315 
678,0.3275 
679,0.3235 
680,0.332 
681,0.691 
682,0.567 
683,0.3305 
684,0.315 
685,0.3395 
686,0.3285 
687,0.473 
688,0.703 
689,0.417 
690,0.3285 
691,0.341 
692,0.3295 
693,0.339 
694,0.6785 
695,0.586 
696,0.3525 
697,0.3345 
698,0.3425 
699,0.338 
700,0.552 
701,0.723 
702,0.3625 
703,0.342 
704,0.355 
705,0.3485 
706,0.4435 
707,0.7365 
708,0.477 
709,0.348 
710,0.3495 
711,0.368 
712,0.3725 
713,0.769 
714,0.5045 
715,0.35 
716,0.3605 
717,0.353 
718,0.358 
719,0.7765 
720,0.5445 
721,0.3585 
722,0.367 
723,0.3635 
724,0.3805 
725,0.773 
726,0.54 
727,0.376 
728,0.366 
729,0.367 
730,0.425 
731,0.7865 
732,0.5025 
733,0.3825 
734,0.375 
735,0.374 
736,0.543 
737,0.806 
738,0.379 
739,0.378 
740,0.3745 
741,0.3895 
742,0.6535 
743,0.708 
744,0.389 
745,0.3945 
746,0.387 
747,0.4015 
748,0.824 
749,0.526 
750,0.3825 
